Title,Link,Article
Who is standing for election in my area?,https://www.bbc.com/news/election-2019-50459517,"All the candidates standing in the general election on 12 December are now listed on the BBC News website.  Use the search box below to find your constituency and the candidates who are standing.If you can't see the look-up click here.Or you can browse the A-Z list.A total of 3,322 candidates are standing for election in the UK's 650 parliamentary seats."
"PM 'misrepresenting' Brexit deal, says Corbyn",https://www.bbc.com/news/election-2019-50684881,"Jeremy Corbyn has said a leaked document obtained by Labour shows Boris Johnson is ""misrepresenting"" his Brexit deal and the ""devastating"" impact it will have on Northern Ireland.He called the paper ""hard evidence"" NI would be ""symbolically separated"" from the rest of the UK after Brexit, with customs checks on goods. Mr Johnson has repeatedly said there will be no border in the Irish Sea.He dismissed Labour's claims as ""complete nonsense"".Asked about the document during a campaign visit in Kent, Mr Johnson said he had not seen it but insisted his agreement would offer ""unfettered access"" to the British market for Northern Ireland businesses.The Conservatives said the leaked Treasury document was an ""immediate assessment, not a detailed analysis"".It had not been written for ""decision-making purposes"" or been seen by the PM, the chancellor or ""any of the senior officials involved in the negotiations"", the party added.But the Democratic Unionist Party (DUP), who oppose the agreement, said it had warned Mr Johnson that it would be bad for Northern Ireland and this was ""further evidence"". The row comes as the leaders prepare for the last TV debate of the election on BBC One on Friday at 20:30.Ahead of the encounter, Labour sought to increase the pressure on the prime minister, who has claimed his agreement with the EU on the terms of the UK's withdrawal will ""get Brexit done"" by 31 January. Mr Johnson has said the whole of the UK will leave the EU at the same time and that there will be no checks on any goods moving from Northern Ireland to the rest of the UK.At a press conference in London, Mr Corbyn said the 15-page Treasury document - titled Northern Ireland Protocol: Unfettered Access to the UK Internal Market - disproved this and showed Mr Johnson's claims about his own deal were ""fraudulent"". By John Campbell, the BBC's Northern Ireland business and economics editorThe analysis in this leaked document matches that published in a government risk assessment in October.The initial study said the PM's deal could mean a reduction in business investment, consumer spending and trade in Northern Ireland. But this time the language is even blunter and confirms the worst fears of unionists.It concludes that the deal would see ""Northern Ireland symbolically separated from the Union.""And it once again suggests the government has not been straight about the extent of new red tape on trade across the Irish Sea. Page one of the document says ""at a minimum exit summary declarations will be required when goods are exported from NI to GB"".The prime minister has repeatedly said those declarations would not be required.""What we have here is a confidential report by Johnson's own government, marked official, sensitive, that exposes the falsehoods that Boris Johnson has been putting forward,"" he said.""This is cold, hard evidence that categorically shows the impact a damaging Brexit deal would have on large parts of our country, 15 pages that paint a damning picture of Johnson's deal on the issue of Northern Ireland in particular.""As well as customs and security checks on goods moving from Great Britain to Northern Ireland, he said goods moving the other way would be subject to regulatory and rules of origin checks and potentially tariffs - which would force up prices and be highly ""disruptive"". ""This drives a coach and horses through Boris Johnson's claim that there will be no border in the Irish Sea.""Before he succeeded Theresa May as prime minister, Mr Johnson told the DUP's annual conference in 2018 that no UK government could agree to any border in the Irish Sea. Mr Corbyn said this showed Mr Johnson's word could not be trusted.But the prime minister said his agreement was superior to his predecessor's as it would give the Stormont Assembly the power to decide whether to remain aligned with the EU after four years.Mr Johnson said the only checks would be on British exports to the Republic of Ireland going via Northern Ireland.BBC Reality Check correspondent Chris Morris said this was not correct, as the agreement actually envisaged checks at Northern Irish ports on British goods not formally bound for the Republic, with items ""at risk"" of being transported on there being liable for duties. This Treasury document sets out things that trade experts have been saying pretty clearly, but that the government has refused to accept.Boris Johnson's EU Withdrawal Agreement says customs declarations and documentary and physical checks on trade between Great Britain and Northern Ireland will be ""highly disruptive to the Northern Ireland economy"".The document notes that 98% of businesses that export to Great Britain are small and medium businesses that are ""likely to struggle"" to bear the cost.None of this is a huge surprise to anyone committed enough to have read the Protocol on Ireland and Northern Ireland carefully, but it is not what the prime minister has been saying about his own deal.Another striking line from the leaked document says the withdrawal agreement ""has the potential to separate Northern Ireland in practice from whole swathes of the UK's internal market"".That is why, in a nutshell, Mr Johnson lost the support of the Democratic Unionist Party in Northern Ireland, and it was his lack of a working majority in Parliament that led in turn to this.Under the PM's agreement, Northern Ireland will continue to follow many EU rules on food and manufactured goods, while the rest of the UK will not. Northern Ireland will also continue to follow EU customs rules but will remain part of the UK's customs territory.A government risk assessment published in October said it would lead to new administration and checks on goods from west to east. But Mr Johnson has insisted Northern Irish businesses will not be hit with additional paperwork or fees, telling a BBC phone-in during the campaign that ""we will make sure that businesses face no extra costs and no checks for stuff being exported from NI to GB"".The DUP said it would use whatever influence it had in the next Parliament to push for changes to the agreement.  ""Despite the prime minister's protestations, the facts are in black and white,"" said spokesman Sir Jeffrey Donaldson. ""We have demonstrated over the last three years that we will stand up and speak up for Northern Ireland to ensure our economy is not decimated by a bad deal.""Mr Corbyn said Labour's promise of another referendum within six months of his winning power would ""end the division"" over Brexit as well as protecting jobs and the peace in Northern Ireland.Under Labour's plans, voters would get to choose between a ""credible"" renegotiated Leave deal, including a customs union with the EU and a close single market relationship, and staying in the EU under current terms. However, Mr Corbyn again declined to say which way he would vote - saying he would not ""take sides"" so he could faithfully carry out the result. In contrast, his chief Brexit spokesman Sir Keir Starmer said he would campaign against the new deal Labour negotiated and back remain.Conservative Party chairman James Cleverly said: ""Once again, Jeremy Corbyn is brandishing leaked documents that don't back up his wild conspiracy theories.""But Liberal Democrat Brexit spokesman Tom Brake said the document showed Mr Johnson's Brexit deal ""would be in fact a knockout blow to the economy of Northern Ireland"".SNP foreign affairs spokesman Stephen Gethins said it made it ""clear"" that ""Scotland will take a disproportionate hit from Boris Johnson's disastrous Tory Brexit deal"".Speaking in Dublin, EU Trade Commissioner Phil Hogan said that under Mr Johnson's Brexit deal Northern Ireland would ""remain in the UK customs territory and, at the same time, benefit from access to the single market without tariffs, quotas, checks or controls"".""EU state aid and VAT rules will continue to apply in Northern Ireland, under the control of the European Court of Justice,"" he added."
Johnson 'could look at' abolishing BBC licence fee,https://www.bbc.com/news/election-2019-50718366,"Boris Johnson has said the possible abolition of the BBC licence fee needs ""looking at"".Speaking at a rally in Sunderland, the prime minister questioned how much longer funding a broadcaster out of ""a general tax"" could be ""justified"".Ministers have agreed the licence fee will stay in place until at least 2027, when the BBC's Royal Charter ends.The fee for a colour TV licence is currently £154.50 a year. It will rise in line with inflation until 2022.Licence fee income was worth £3.6bn to the BBC in 2018-9, accounting for approximately 75% of the broadcaster's revenues and funding TV, radio and online content. Last year, 25.8 million households had TV licences.The government and the BBC are currently involved in a dispute over the funding of free TV licences for the over-75s.Mr Johnson was asked by a member of the public whether he would consider axing all TV licences.The prime minister said that, while he would not make up policy with three days to go before the election, it was an issue that was worth ""looking at"" in the future. ""You have to ask yourself whether that approach to funding a media company still makes sense in the long term given the way that other organisations manage to fund themselves,"" he said.""The system of funding out of what is a general tax bears reflection. How long can you justify a system whereby everybody who has a TV has to pay to fund a particular set of TV and radio channels.""Various alternatives to the licence fee have been floated over the years, including subscription services or a compulsory broadcasting levy. It is customary for election campaigns to strain relations between the BBC and whoever happens to be in government. But the advent of social media - where criticism of the BBC frequently goes viral - and the rise of streaming giants which operate a different model, has increased pressure on the BBC recently. So too has the prime minister's refusal to be interviewed by Andrew Neil for the BBC. Last week, Mr Neil, who interviewed all the other party leaders, issued a challenge to Mr Johnson, and showed an empty chair. That clip has been viewed several million times on social media. No 10 didn't appreciate that much, and doubled down on its position. Lured by the internet, many younger viewers now spend much more time on Netflix or YouTube than watching BBC services. That does pose a significant, perhaps existential, challenge to the BBC in the long term.The BBC has always argued, however, that the licence fee is vital to its public service model and that if it moved to a subscription model it would necessarily be driven only by those who could afford a subscription, and not the whole country.Sooner or later, a decision needs to be made about how best the BBC can compete, and satisfy the British public, in today's global media. It's probably best that discussion takes place when there isn't an election on.At the time of the last Charter Renewal in 2016, the government said the licence fee was likely to become ""less sustainable in the long run"".While ministers said there were no plans to replace it with a subscription model, they said the BBC should be given an opportunity to explore whether to make any of its content available on a subscription-only basis.In its manifesto, Labour says it will ensure a ""healthy future"" for all public service broadcasters, while the Liberal Democrats are promising to ""protect the independence of the BBC and set up a BBC Licence Fee Commission"".The Brexit Party is pledging to ""phase out"" the licence fee."
How many trees can you plant in a day?,https://www.bbc.com/news/50591261,"The political parties have been promising huge increases in tree planting in their election manifestos.The most eye-catching is Labour's plan to plant two billion trees by 2040.Impossible, some say - that's more than a quarter of a million trees every day. But it's not necessarily unrealistic. It's just that it will require a sea change in the way things are done today. In the year to March 2019, the number of trees planted across the UK went up: 13,400 hectares of new woodland was planted. Most of it was in Scotland (11,200 hectares), while there was actually a decrease in planting in England. But these UK-wide figures fall way short of where they were in the late 1980s, when about 30,000 hectares were planted every year. Experts who advocate sustainable woodland are not huge fans of the way planting was done in that decade, but it does show that the current rate of planting could rise dramatically.Meanwhile, the Conservatives have pledged to plant at least 30 million more trees every year, the Lib Dems and the SNP each say they will plant 60 million trees a year, while the Green Party would aim to plant 700 million trees by 2030. Tree-planting How many trees are the parties pledging to plant?Labour: 100m a year (2bn by 2040)Greens: 70m a yearLib Dems: 60m a yearSNP: 60m targeta year Conservatives: 30ma yearIt's difficult to say precisely because trees can be planted at a density of anything between 1,000 and 2,500 per hectare.  But if you take a mid-range, then planting 30,000 hectares means you are planting roughly (and we should stress this is an estimate) 50 million trees a year.That's still a long way short of the rate of planting Labour would need to achieve, in order to meet its target. But it suggests that it could be done. UK, 1976-2019Experts can plant trees incredibly quickly. But the Woodland Trust, the UK's largest woodland conservation charity, says several things need to happen to encourage a huge tree-planting programme:""We know that the investment needed will pay back,"" says Darren Moorcroft, the chief executive of the Woodland Trust. ""It will require landowners willing to provide the public benefits that society needs, and public funds to support it.""The Committee on Climate Change, a statutory body which provides advice to government, says the UK needs a net increase of 32,000 hectares of woodland every year for the next 30 years, in order to help achieve the legally-binding target of net zero carbon emissions by 2050. That equates to about one-and-a-half billion trees. Again that sounds like an awful lot, but at the moment only 13% of the UK's land area is covered in trees (and in England it is 10%). The aim is to increase that UK-wide figure to 17% by 2050. The average tree cover across the EU is about 35%, so it's actually quite a modest overall target.To put things into further perspective, there have been multiple efforts elsewhere in the world to plant millions of trees in a single day.Guinness World Records say roughly 50 million were planted by volunteers in the Indian state of Uttar Pradesh on a single day in 2016. So, ambitious targets for the UK should not be dismissed out of hand. But to get there, from where we are now, will take a gargantuan effort. And political promises on tree planting have been broken before. What claims do you want BBC Reality Check to investigate? Get in touchRead more from Reality CheckFollow us on Twitter"
Who gets to take part in opinion polls?,https://www.bbc.com/news/election-2019-50247874,"In the run-up to the general election, we will hear a lot more about how the parties are doing in the opinion polls and who the next government might be.But how do the polls work, whose opinions are asked and how valuable are the results? Opinion polls provide a snapshot of people's views on a particular issue. They are widely used when elections are approaching.People may be asked things like which party they would vote for, their views on party leaders and which issues most concern them.Opinion polls can be useful to see how different parties are doing, but they may not reflect the make-up of the next Parliament.The UK's first-past-the-post voting system means that the local candidate in each constituency who receives the most votes becomes an MP. And the party with the most winning candidates nationally normally forms a government. So, a party that is predicted to have 10% more of the vote than its main rival, for example, will not always end up with 10% more MPs.They are not perfect, but the average of errors on polls going back more than 70 years is only a couple of points, says Will Jennings of the University of Southampton.Over the last few elections, 90% of polls conducted just before the election have been within four percentage points of the vote share for the major parties.During this general election campaign, the clear trend has been the Conservatives and Labour going up - and the Brexit Party and Lib Dems going down.Poll results were criticised after both the 2015 and 2017 general elections.A review by the British Polling Council said that polls before the 2015 vote were among the most inaccurate since surveying began. They failed to predict the Conservative Party's majority win and over-represented Labour voters.The review suggested the main reason was unrepresentative sampling.Two years later, the opinion polls all suggested a clear Conservative lead over Labour in the run-up to the election. While the Tories did win, it was without the predicted majority.The polls were right about theirs and the Lib Dems' vote share, but they were wrong about Labour's. It was also thought that an assumption of a low turnout from younger voters was wrong.The number of people questioned varies from poll to poll. Most political polls ask between 1,000 and 2,000 people. However, to be involved you usually need to have signed up to be on a survey panel, unless the poll is conducted by phone or in person.People do not join these panels specifically to give their views on politics. Many will only ever be questioned on issues like their views on the best pizza delivery firm or where they go on holiday.But the panels are also generally where the opinion poll companies collect their views at election time.The panels can be very big - some containing up to one million participants. However, the actual number of people actively taking part on a regular basis may be only about 25% of such a total.People are given various incentives, such as shopping vouchers or a small financial reward, for doing the surveys.Many people will never be asked questions by pollsters, but this does not mean that polls are not accurate. Two methods of ensuring that polls represent the voice of the nation are random sampling and quota sampling.The random way involves pulling out people's contact details from a list and contacting them.Quota sampling means having certain numbers of people of certain ages, genders and locations taking part in a survey.During this election campaign YouGov published a poll based on the views of 100,000 voters, applying national trends to individual constituencies.The results of polls can often be released very quickly. A poll can be finished in the afternoon and the results published later that evening.Polls are helpful for tracking changes in support for the different political parties. But they can only ever provide an approximate picture and shouldn't be treated as a reliable guide to what will happen in the election. It's particularly important to look at long-term trends - rather than focusing on individual polls. The BBC has strict rules about this. So you will never see the result of a poll in the headlines of a TV news bulletin for example.Instead we look at the polls over time in the BBC poll tracker. That takes in all voting intention polls published by members of the British Polling Council. The BBC's aim is to try to smooth out specific errors in any individual poll. However, it's still possible for all of the polls to be systematically inaccurate. So even the tracker should be treated with the right degree of caution."
Lib Dems pledge help for small businesses,https://www.bbc.com/news/business-50698834,"The Liberal Democrats plan to scrap business rates to help small firms and will provide greater support for entrepreneurs, if the party wins the general election on Thursday.Nearly a million businesses in the UK have closed in the past three years, analysis from the Lib Dems suggests.The party says Brexit uncertainty has added to the high street's demise.Labour says it will base a network of small business advisers in Post Office branches if it wins the election.Meanwhile, the Conservatives have said they will reduce business rates for smaller firms and give them a larger discount on National Insurance payments. Lib Dem leader Jo Swinson is due to visit Hertfordshire on Saturday - Small Business Saturday - to discuss her policies with the owners of small businesses in a bid to convince them to back her party, which is in favour of revoking Article 50 and stopping Brexit.Citing figures from the Office for National Statistics, the Lib Dems said 978,285 businesses closed their doors between 2016 and 2018 - a 28% rise from the 765,000 that shut over the previous three years.The Confederation of British Industry (CBI) has previously warned the government of the impact a no-deal Brexit would have on the UK and European Union, saying that leaving with a deal is essential to protect the economy and jobs.Sam Gyimah, Lib Dem shadow secretary for business, energy and industrial strategy, told BBC Radio 4's Today programme on Saturday that it was ""no coincidence"" that in a period of such uncertainty, businesses had to close their doors.Mr Gyimah said: ""We have a situation where the Conservatives and the Labour Party are going to throw the economic cards up in the air and gamble with our future. And all the other things pale in comparison when you look at the issue of Brexit and its consequences.""The Lib Dems plan to boost small businesses by replacing business rates with a new land value tax on landlords, and expand the ""future high streets fund"" to support redevelopment in town centres and high streets.A new ""start-up allowance"" supporting business owners with their living costs in their first few weeks is also being pledged.Chuka Umunna, Lib Dem spokesman and former Labour MP, warned that ""crashing out"" of the EU would see ""even more damage to businesses up and down the country"".Mr Umunna accused the Conservative government of having ""completely failed"" small businesses, ""saddling them with years of Brexit uncertainty and ignoring urgent calls to reform business rates"".""Liberal Democrats are proud to be a party that supports businesses. We will stop Brexit, get back to dealing with the issues that really matter to small businesses, and build a brighter future,"" Mr Umunna added."
Tories claim first scalps in Wales election results,https://www.bbc.com/news/election-2019-50766203,"Wales' first female Conservative MP has been elected after the party took two targeted seats from Labour.Sarah Atherton's 2,131 majority win in Wrexham followed the Vale of Clwyd which James Davies regained after losing his seat two years ago.Exit polls have forecast a large Tory majority in the UK.Labour held on to Caerphilly and Swansea West, while Plaid Cymru held on to Arfon with Hywel Williams increasing his majority from 92 to 2,781.According to exit polls, the Tories appear on course to take 368 seats, 50 more than the last election. In Wales, Wrexham, Vale of Clwyd, Clwyd South, Delyn, Bridgend, and Alyn and Deeside are forecast to turn blue.Labour is forecast to take an estimated 191 seats, down 71 from the 2017 poll. Plaid Cymru is forecast to take three seats, down one.After 7 of 40 seatsIf you cannot see the graphic click here.Paul Davies, the Conservative leader in the Welsh assembly, said: ""People want to see Brexit delivered and that's why they have come out to vote for us, if this poll is correct.""His predecessor Andrew RT Davies said: ""People across the country have stood up and told their politicians that democracy should be respected and have also emphatically rejected the hard-left socialist dogma of Jeremy Corbyn.""Welsh Conservative chairman Byron Davies said he was ""very encouraged by what we have seen so far"", and the former Gower MP said the constituency was looking ""close"".Meanwhile, Russell George, Tory AM for Montgomeryshire, said his constituency was looking ""positive"" for his party, as was the current Lib Dem seat of Brecon and Radnorshire.Labour's Chris Bryant, who is standing in the Rhondda, called it the ""worst night for Labour since 1935"". Speaking on BBC Wales' Election 2019 programme, he said his party would have ""lost four elections in a row"" and were now looking at ""being out in the wilderness for even longer"" unless there was ""some serious soul-searching"".Stephen Kinnock, the party's Aberavon candidate said if the exit poll was correct he would ""urge"" Jeremy Corbyn to consider his position.""I think he has to seriously consider his position. I don't think a leader who has lost two elections can seriously just stand up and pretend that nothing has happened,"" he said.""If you're losing your heartland seats you're losing your sense of purpose, your sense of mission.""Vaughan Gething, Welsh Labour health minister, said if the exit poll was borne out it would be a ""bad night for the Labour party"" and ""a bad night for the country"".The pro-EU politician said voters had seen both Boris Johnson and Jeremy Corbyn as ""marmite"".""We did understand that traditional Labour voters, older Labour voters, had a real issue voting Labour in this election,"" he said.Stephen Doughty, who has held the Cardiff South and Penarth seat for seven years, tweeted: ""I fear the future for our younger generation. I fear for the public institutions and integrity of our country. Dark times. Some of us must offer new hope amidst despair.""However, Plaid Cymru AM Delyth Jewell struck a note of caution, saying two of the seats the party was defending were ultra-marginal.""I would have liked to have seen us having more seats, but we always knew this was going to be difficult,"" she said.Welsh Liberal Democrat Baroness Randerson said the exit poll was ""obviously disappointing"". ""When we've been canvassing it seemed at times like an unpopularity contest between Boris Johnson and Jeremy Corbyn,"" she added.Other seats that could change hands include Ynys Mon, Arfon, Brecon and Radnorshire, and Gower.Prof Laura McAllister, from Cardiff University, speaking on the BBC Wales Election 2019 programme, said: ""There's irony here if these results do play out. Labour might be looking at having the bulk of its MPs in the south Wales valleys - the part of Wales which is most resistant to Jeremy Corbyn. ""It will be interesting how that plays out for the First Minister, Mark Drakeford, who is himself a supporter of Jeremy Corbyn.""But Prof Roger Awan-Scully, also of Cardiff University, said: ""The Conservatives record of winning any post-war general election is winning 14 seats in Wales.""I think that could well be under threat tonight and we could be on course for a historic Conservative performance.""We could see the Labour Party wiped out in north east Wales and under threat in a number of south Wales seats as well."""
Tories probe candidates over anti-Semitism claims,https://www.bbc.com/news/election-2019-50700874,"Three Conservative election candidates are being investigated over allegations of anti-Semitism, the party has confirmed.Sally-Ann Hart, Richard Short and Lee Anderson are facing claims relating to their social media use.Labour has called for the candidates to be suspended, adding that leader Boris Johnson ""must answer for the anti-Semitism being promoted in his name"".A Conservative spokeswoman said abuse or discrimination of any kind is wrong.Among those who are facing an investigation is Sally-Ann Hart, the Tory candidate in Hastings and Rye, which is ex-Home Secretary Amber Rudd's former seat.Also being investigated is Richard Short, who is standing in St Helens South and Whiston, and Lee Anderson, who is running in Ashfield and Eastwood.A Conservative Party spokeswoman said: ""These matters are being investigated.""She added: ""We are committed to stamping out the scourge of anti-Semitism in our society and supporting our Jewish community.""Our complaints process is rightly a confidential one, but there are a wide range of sanctions to challenge and change behaviour, including conditions to undertake training, periods of suspension and expulsion, and these are applied on a case-by-case basis."" The probe comes after leader Mr Johnson previously told reporters that ""if anybody is done for Islamophobia, or any other prejudice or discrimination in the Conservative Party they are out first bounce"".Andrew Gwynne, Labour's national campaign co-ordinator, said: ""Boris Johnson said members who make racist comments are 'out first bounce'. So why is he refusing to suspend these three candidates, none of whom appear to have apologised?""Johnson has never called out and condemned anti-Semitic Soros narratives among his supporters.""On the contrary, the Conservatives whipped their MEPs to vote in support of the Hungarian government which peddles the Soros conspiracy and appointed a senior government adviser who promotes this narrative.""Mr Gwynne added: ""Anti-Semitism is clearly rife in the Conservative Party from top to bottom.""Johnson must answer for the anti-Semitism being promoted in his name.""Jewish multi-billionaire philanthropist George Soros, who has given away £32bn, has been the topic of numerous fake news stories and conspiracy theories, many of which are anti-Semitic.Under electoral law, if a candidate is suspended after nominations close, they will still appear on the ballot paper and affiliated to that party. Mr Johnson has previously apologised for the ""hurt and offence"" that has been caused by Islamophobia in the Tory Party.Meanwhile, Labour has been beset by allegations of anti-Semitism for more than three years, leading to the suspension of a number of high-profile figures such as Ken Livingstone and Chris Williamson, and an unprecedented investigation by the Equality and Human Rights Commission. Mr Corbyn has apologised for incidents of anti-Semitism in Labour on several occasions and said anti-Jewish racism was ""vile and wrong""."
A really simple guide to the UK general election,https://www.bbc.com/news/uk-politics-49826655,"If you cannot see the interactive content above click here.Written by Ian Westbrook and produced by Dominic Bailey,  Steven Connor and Prina Shah"
Pound soars on exit poll forecast of Tory majority,https://www.bbc.com/news/business-50766233,"The pound surged against the dollar after an exit poll indicated that the Conservative Party has secured an 86-seat majority in the general election.Sterling gained 3% to $1.35 - its highest level since May last year - on hopes that a big majority would remove uncertainty over Brexit.The pound also jumped to a three-and-a-half-year high against the euro. Prime Minister Boris Johnson has pledged to take the UK out of the European Union by 31 January.The BBC's economics editor, Faisal Islam, said a big win for the Conservatives pushed leaving the EU without a deal into the distance, and the financial markets are breathing a sigh of relief.""The most disruptive form of no deal has been taken off the table. The market reaction is a reflection not just of the result, but of the fact that [a big majority] gives the prime minister room for manoeuvre.""UBS Wealth Management economist Dean Turner said: ""Just as Boris Johnson was desperately seeking his majority, this result would give the markets their ultimate wish: clarity.""Capital Economics chief UK economist Paul Dales said there is no guarantee that the exit poll numbers will be confirmed as the results of the general election come in overnight.But he said: ""If the Conservatives do win a majority, passing a Brexit divorce deal in the coming weeks would remove any risk of a no deal Brexit on 31 January, reduce the immediate uncertainty and lift business investment at least a bit. ""And in a Budget in February, the Conservatives would probably give the economy an extra kick by raising public investment by up to £20bn. ""Together with the removal of some risk of Labour's anti-business policies, this explains why the pound has already risen from $1.31 to $1.34.""The poll projected that Labour has lost 71 seats to 191.  "
