Title,Link,Article
Impossible Burgers debut at the grocery store,https://www.cnn.com/2019/09/19/business/impossible-burgers-retail-gelsons/index.html,"New York  (CNN Business)Impossible Burgers will hit grocery shelves for the first time on Friday. The soy-based meat substitute will be sold at all 27 Gelson's Markets locations in Southern California, Impossible said Thursday. Later this month, the product will become available in grocery stores on the East Coast. Impossible is launching its retail product as the meatless meat sector starts to become more crowded. Plant-based protein company Beyond Meat (BYND) sells burger patties, sausages, crumbles and grounds at Safeway, Kroger, Shop Rite and other grocery stores. Kellogg (K) and Nestle (NSRGF) both have plant-based burger patties in the works. Kroger (KR), which is testing out a plant-based section in the meat aisle of some stores, recently announced that it is launching a line of meatless products, including meatless burger patties and deli slices, this fall. Even meat processors like Tyson (TSN) and Smithfield Foods are jumping on the trend. It's no surprise that big food companies and retail chains are entering the sector. Barclays predicts the alternative meat sector could reach about $140 billion in sales over the next decade, capturing about 10% of the global meat industry.US retail sales of plant-based foods have grown 11% in the past year, according to a July report from trade group Plant Based Foods Association and the Good Food Institute, a nonprofit that supports plant-based businesses. Refrigerated plant-based burger patties, which have spiked 151% since 2018, have helped drive that growth, GFI noted. For Impossible, it was important to launch in restaurants before hitting grocery stores, CFO David Lee told CNN Business. The Impossible Burger debuted three years ago at Momofuku Nishi, a high-end restaurant in New York City owned by chef David Chang.""We wanted the benefit of building a consumer movement in the hands of professional chefs before we began to serve home chefs,"" Lee said.Today, the Impossible Burger is served at over 17,000 restaurants, including Burger King and White Castle. Impossible is hoping that the restaurant launches have made customers familiar enough with the product to reach for it in a grocery store. Gelson's will also offer promotions to help draw attention to the product, like free samples and cooking demos, at some stores starting in October. Now that the company is finally making its product directly available to shoppers, it's moving slowly. Impossible wants to ""test and learn before we fully commit to our rollout nationwide,"" Lee said. ""We want to learn how to best create the same degree of interest that we've seen in food service in a retail environment.""Impossible plans to use insights from Gelson's and from market researchers IRI and Nielsen to learn about how customers interact with the product, and figure out the best way to present it to shoppers in stores. It plans to make the Impossible Burger available in retail stores nationwide by the middle of next year. "
Steel company sells for less than half what it was worth when Trump took office,https://www.cnn.com/2019/12/03/business/ak-steel-cleveland-cliff-deal/index.html,"New York (CNN Business)Despite President Donald Trump's promise to revive the domestic steel industry through tariffs, AK Steel has decided its time to sell.The Ohio steelmaker agreed to be purchased by mining company Cleveland-Cliffs (CLF) in a roughly $1 billion stock deal. Although it's a premium from AK Steel's recent valuation, that's less than half the stock's value from early 2018 after President Trump first announced he would place tariffs on steel and aluminum imports in an effort to help those industries. It's roughly a third of the price of the stock the day he took office.The deal came the day after Trump threatened a new round of tariffs on steel and aluminum imports from Brazil and Argentina.The Trump administration's original round of steel tariffs briefly led to a jump in domestic prices and increased American steel production. But prices have retreated since then as the increased production and decrease in demand put downward pressure on prices. Steel industry profits and stock prices have fallen along with the decline in prices. AK Steel recently reported a 96% drop in net income in the third quarter. In January it announced it would close a mill in Ashland, Kentucky, by the end of this year, cutting 230 jobs.But the deal offers new hope to AK Steel and its workers according to Cleveland-Cliffs CEO Lourenco Goncalves. During a call with investors Tuesday he said the deal could allow the Ashland plant to reopen to produce pig iron, a steel component, at its blast furnaces. But he wouldn't give any firm date for restarting the mill, saying it would depend on discussions with possible customers.""It all depends on the clients,"" he said. ""We'd love to generate jobs there. But the clients need to understand that we don't work for free, and we have to earn our cost of capital.""Beyond the question of the Ashland mill's future, Goncalves vowed that the deal will make AK Steel far more profitable than it has been, both through refinancing its higher cost debt, cutting costs and having a supply of the iron ore pellets that Cleveland-Cliff produces. He noted that other steelmakers may continue to struggle, but the deal would give AK a competitive advantage in a troubled industry.""AK Steel is going to survive,"" he vowed. ""We believe this transaction is a compelling opportunity for AK Steel shareholders,"" said AK Steel CEO Roger Newport, whose retirement was announced as part of the deal.Stockholders of AK Steel (AKS) will get 0.4 shares of Cleveland-Cliff for each of their shares, worth about $3.36 at Monday's closing price. But Cleveland-Cliffs' stock tumbled 14% Tuesday on the news of the deal.  Goncalves, who has a history of battling with stock analysts during conference calls, dismissed the market reaction. ""Unfortunately, Wall Street sells first and thinks later,"" he said."
Family that owns Krispy Kreme announces $5 million donation to Holocaust survivors,https://www.cnn.com/2019/12/12/business/krispy-kreme-family-nazi-donation-trnd/index.html,"The Reimann family, which owns a controlling stake in JAB Holdings, announced Thursday it's donating more than $5.5 million to Claims Conference, an organization that provides compensation payments to Holocaust survivors.   The donation will be administrated through the Reimann family's new Alfred Landecker Foundation over the next three years. The organization said the money is a ""significant step"" for them as it begins to provide financial and humanitarian assistance for Holocaust survivors. The Reimann family said they discovered in March that family members had strong anti-Semitic ties following a three-year investigation. A family spokesperson said Albert Reimann Sr., who died in 1954, and Albert Reimann Jr., who died in 1984, used Russian civilian prisoners and French prisoners of war as forced labor in their factories during World War II and that they were anti-Semites and avowed supporters of Adolf Hitler. A plant run by Reimann Jr. used 200 civilians as forced laborers in 1942, the investigation found.The investigation also found that Reimann Sr. donated to Hitler's paramilitary SS force as early as 1931. Investigators also found a letter from Reimann Jr. to a local mayor complaining that the French prisoners of war weren't working hard enough and should be in prison. The family previously said the crimes were ""disgusting"" and are ""nothing to gloss over."" Thursday's donation is part of a larger $11 million commitment the family plans to donate to Holocaust survivors. Landecker was killed by Nazis and was linked to the Reimann family, it said in a press release.The Reimann's said it was using Landecker's name to ""not only preserve his memory, but also memorialize the murder of millions of Jews and other victims of National Socialism.""Privately held JAB Holdings is based in Luxembourg and also owns Peet's Coffee, Pret A Manger, Einstein's Bagels and Coty. The Reimann family is reportedly one of the richest families in Germany. The company acquired most of its best-known brands within the last several years. It took a stake in Coty in the early 1990s, and is the beauty company's largest shareholder.--CNN Business Chris Isidore contributed to this report."
These are the grocery store influencers,https://www.cnn.com/2019/12/07/business/influencers-aldi-kroger-costco-publix/index.html,"New York (CNN Business)When you think of influencers, you might think of flat tummy tea and hair vitamins.Diane Youngpeter, however, is not trying to sell you those things. She is a stay-at-home mom in Detroit. And in her free time, she runs Aldi Nerd, a blog about the discount German grocery chain that has 1,600 US stores. She also has an Aldi fan group on Facebook with nearly a half million members. ""There's a lot of Aldi nerds out there,"" Youngpeter said. ""I don't know if I can handle any more people in my Facebook group."" Aldi doesn't pay Youngpeter for her content about her favorite brands at the store— Girl Scout cookies knockoffs and German chocolates. But she and other grocery store superfans with Facebook and Instagram accounts dedicated to the stores are powerful advocates for the companies. They bring authenticity, create loyal shoppers and build an internet culture around the brands, experts say.Aldi is not the only big grocer with pages run by die-hard customers.Kroger Krazy lifts Kroger. An Instagram account called  Costco_doesitagain has 511,000 followers. Then there's Trader Joe's List, Trader Joe's Obsessed and a lineup of Trader Joe's influencers with no connection to the company.  I Heart Publix, a Facebook page started by Michelle Atwood more than a decade ago, has grown to 116,000 followers.With more consumers cutting the cord on television, coupons in magazines fading away and the efficacy of celebrities' paid social media ads waning, these passionate fans on social media are becoming more important to reach shoppers, experts say.""The typical ways in which consumers have been approached by grocery retailers and brands is increasingly losing relevancy,""  said Melissa Abbott, vice president of culinary insights at the Hartman Group, a food and beverage research firm. Consumers are responding to ""influencers that are out there being very honest and raw and vulnerable.""These everyday superfans generate excitement about the stores on their pages and deliver a sense of urgency to shop to their army of followers. Celebrity partnerships and posts from companies' own social media accounts can't match that because shoppers tend to distrust them, according to experts.""The biggest criticism about influencer marketing is that it's not authentic. It's just people getting paid,"" said Evan Asano, founder of Mediakix, an influencer marketing agency. Grocery superfans with their own pages are a ""dream scenario"" for companies and a form of earned media. ""Earned media is the best type of media because it's people choosing to post on behalf of the brand,"" he said. The posts come from ""love of the brand.""Jen Coleman and Laura Wiertzema started their Instagram page, Costco_doesitagain, two years ago after success with a similar Target handle. Today, the Costco page has more than half-a-million followers and the two women update it frequently with posts about organic brands and exclusive deals at Costco. They say they provide a service to other customers by helping them discover what's new in stores. A lot of people don't know how to navigate the store the way they do, they said in an interview, adding ""We are the ultimate consumers."" The two don't communicate with Costco, but their posts are ""free advertising"" for the companies, they said. ""We have such a crazy, engaged following.""Kroger and Whole Foods have now started building strategies around their everyday influencers.Katie Cooksey, who runs Kroger Krazy, a Facebook page with nearly 600,000 followers, said Kroger sends her its weekly advertising early and invites her to special corporate events.""My readers feel a sense of community,"" she said. ""They are very engaging on almost everything I post.""Kroger itself has started ""Kroger Collective,"" a program to work with some of its everyday fans to create content like recipes highlighting Kroger products and sharing live stories while they are cooking or shopping in the stores.And in January, after Tabitha Brown posted a video of her excited reaction to a vegan BLT at Whole Foods that went viral, Whole Foods partnered with her to launch the sandwich she made famous in all of its stores for the month.CNN Business' Kaya Yurieff contributed to this article."
Adidas is partnering with the International Space Station to test products in space,https://www.cnn.com/2019/11/05/business/adidas-iss-scn-trnd/index.html,"The apparel company is launching a multi-year partnership with the International Space Station (ISS) US National Laboratory.""The partnership was formed because of the shared focus on innovation between Adidas and the ISS US National Lab and our joint dedication to Open Source creation,"" said James Carnes, vice president of global brand strategy for Adidas. ""The initial conversations led to the idea of maximizing the unique lab characteristics of the International Space Station, like microgravity, for product research with our background in human performance for athletes.""Phase oneThe first phase of the partnership will focus on product innovation by testing products in microgravity. Microgravity is the condition in which people or objects appear to be weightless, according to NASA.Adidas delivered soccer balls to the ISS during a cargo mission earlier this year in order to run experiments in an attempt to extend the understanding of flight characteristics beyond Earth. ""The unique conditions of space provide the ideal environment to discover the unknown,"" said Christine Kretz, vice president of Program and Partnerships of the International Space Station US National Laboratory. ""For example, microgravity is the only condition in which we can observe specific experiments like the behavior of a spinning soccer ball without interrupting airflow and external supports holding it in place. Having control of certain variables allows us to conduct tests and collect insights that aren't possible on Earth.""Without gravity distorting the shape and flight path of the ball and air resistance affecting the ball's flight spin, researchers are able to concentrate on testing other variables.Adidas may be able to incorporate what they learn from these tests into the design of the panel shape of the ball, the surface and texture design, and the material to engineer future balls.Carnes said that as the first test of its kind on sports equipment, the company is still processing the test results for the ball. And they already have a different test planned.First to spaceAdidas will be the first brand to test improvements to footwear in space. The company plans to test its Boost technology, which is the foam the company uses to cushion some of its most popular and comfortable shoes, without the distraction of gravity. This could influence the performance and comfort of existing models while paving the way for innovation of new products.""Beyond the Earth's atmosphere, extreme conditions in microgravity and temperature allow for unique exploratory testing that can only be achieved in space,"" said Carnes. ""This will manifest itself in technology and process innovations for how we make sneakers, advancements in apparel like compression garments, extreme temperature management of both footwear and apparel, and pioneering sustainable materials and circular processes.""The tests are slated to begin early next year, and astronauts will experiment in order to test if it's possible to produce Boost midsoles with regions of different particle sizes, which Adidas says could theoretically optimize performance and comfort.""We know that the space-based environment of the orbiting laboratory promotes profound changes that affect all scientific disciplines,"" Kretz said. ""What is exciting about this collaboration is the targeted nature of Adidas' research with its Boost technology. What they learn could have very near-term impacts on the company's future product lines that could benefit athletes all over the world.""Pushing the boundaries of human performanceAdidas said it plans to research human performance and sustainability through the physical training regimen developed for astronauts.Astronauts must undergo a rigorous training program in order to prepare for the harsh conditions of space, and Adidas hopes to improve endurance and strength training by studying the conditions required to prepare for space travel. The company also plans to explore the range of motion in the human body and how muscle development and atrophy are affected without gravity.""This will have an impact on how we design and develop things like compression apparel for muscle enhancement and recovery,"" Carnes said. ""We are also inspired by the recent increase of women astronauts joining space programs, which could potentially enable exploration with a balanced look at specific biomechanical movements of both men and women throughout the entire journey.""Adidas hopes to use this information to help athletes better prepare, perform and recover.SustainabilityAdidas has made a commitment to being environmentally friendly. The company has a long-running partnership with the organization Parley, which focuses on recycling ocean plastics and using them to create apparel and sneakers.The company also recently launched the Adidas Futurecraft Loop, which is the company's first recyclable shoe.Now the company hopes its partnership with the ISS will yield takeaways for more sustainable manufacturing.Carnes said that Adidas hopes to ""pioneer a whole new approach to sustainability that can only happen in conditions where every gram of material needs to be accounted for, reused, or repurposed.""""At Adidas, we believe that through sport we have the power to change lives, and we want to learn how to make sport accessible to everyone, wherever humanity goes -- Earth, space and beyond,"" Carnes said."
"Larry Summers: Trump's trade war is a 'Stop, or I'll shoot myself in the foot' strategy",https://www.cnn.com/2019/12/04/business/larry-summers-trade-war-trump/index.html,"New York (CNN Business)Former US Treasury Secretary Larry Summers says President Donald Trump's love affair with tariffs is backfiring. And he's not surprised at all. Breaking from decades of US presidents lowering trade barriers, Trump is waging a global trade war that spread this week to Argentina, Brazil and France. Trump's tariffs are aimed at protecting American workers, but Summers argues it's the US economy that will suffer.""We are engaged in a stop or I'll shoot myself in the foot strategy,"" Summers told CNN Business. ""It's hard to know just how adverse the impact will be. But the direction is clear.""Summers, who served in the Clinton and Obama White Houses, said tariffs will hurt the competitiveness of US producers that rely on imported goods. That includes everything from car makers to wine distributors. Summers said this will lead to higher prices and lower incomes for American consumers.Already, the US manufacturing industry is in recession. Factory activity contracted in November for the fourth month in a row. The downturn is being driven by trade tensions as well as weak global growth, which the trade war is exacerbating. US manufacturing jobs declined by 6,000 in November, according to ADP. The factory job losses contributed to the second weakest private sector payroll growth since March 2010.""Uncertainty can paralyze economic activity,"" Summers said. Trade wars aren't easy to winSummers knows firsthand. He was a top Treasury official in the late 1990s during the Asian financial crisis and the collapse of hedge fund Long Term Capital Management. Later, he advised President Barack Obama during the worst economic downturn since the Great Depression. Trump famously declared in March 2018 that ""trade wars are good, and easy to win."" Nearly two years later, it's clear that hasn't been the case. The United States and China are bogged down in a trade war and Trump suggested this week that a preliminary agreement may not happen until after the 2020 election.""Ronald Reagan's statement about nuclear war is the more accurate presidential statement about trade wars: They can never be won and should never be fought,"" Summers said, paraphrasing the former Republican president's 1984 State of the Union address. Yet trade wars are being fought, posing a risk to the longest economic expansion in American history. ""Trade uncertainty continues to be a black cloud for business investment,"" David Tesher, managing director at S&P Global Ratings, wrote in a report Tuesday. S&P sees a 25% to 30% chance of a recession in the next 12 months, although that's an improvement from the firm's previous call. ""We are 10 years into recovery with optimistic asset markets,"" Summers said, referring to the recent string of records in the US stock market. ""We are at a complex moment. Things are more fragile because of our trade war with the world.""Summers: Markets could 'fall a long way' from record highsUS stocks experienced a melt-up that began in early October, catapulting the S&P 500 to 11 record highs in November alone. That powerful advance was driven by easy money from the Federal Reserve, hints of stabilization in the US economy and hopes of a preliminary trade agreement with China.""Markets are at levels where they could possibly fall a long way. That makes the moment riskier than a normal moment,"" Summers said. US stocks fell sharply on Monday and Tuesday as trade tensions erupted again. Trump announced plans Monday to lob tariffs on steel imports from Brazil and Argentina. And the administration threatened to impose tariffs of up to 100% on French champagne, handbags and cheese. Trump officials also signaled the trade war with China could get worse. US Commerce Secretary Wilbur Ross told CNBC that the United States has more ""ammunition"" left against China. He warned that the December 15 tariffs on consumer-facing imports from China will take effect ""unless there is some reason to postpone them.""The aggressive stance against China is aimed at addressing legitimate and serious grievances with the country's trade tactics. China's alleged theft of intellectual property, for instance, has damaged US businesses and cost jobs. But there is concern about Trump's use of tariffs as a tool to gain concessions in trade talks. ""He has really instilled a dramatic loss in confidence in the US economic policy apparatus being pro-growth,"" said Harry Broadman, who served as an economic adviser to former President George HW Bush. Negative rates can lead to cash hoardingInvestors would look to the Federal Reserve to mitigate the damage caused by a potential escalation of the trade war with China. However, Summers is concerned that the Fed's recession-fighting toolkit is limited by the fact that interest rates are already low. The October rate cut, the Fed's third in a row, left the federal funds rate at a range of just 1.5% to 1.75%.""The whole economic system is brittle in a way without precedence in decades, because the normal response to economic difficulty, the Fed reducing interest rates by 500 basis points, is not close to possible right now,"" Summers said.Cutting rates by five percentage points would leave the Fed with deeply negative rates. Trump has urged the Fed to adopt the subzero rate strategy implemented by central bankers in Europe and Japan. ""Give me some of that money. I want some of that money. Our Federal Reserve doesn't let us do it,"" Trump said of negative rates during a speech last month.But negative rates have failed to revive the economies of Europe and Japan. And extremely negative rates could encourage households to hoard cash, rather than spend it. ""They can't go that negative because people hold currency under the mattress,"" Summers said.  "
Using machine learning to make work 'suck a little less',https://www.cnn.com/2019/12/11/business/citrix-machine-learning/index.html,"Workers are bombarded with a steady stream of emails, instant messages and requirements to log onto different systems to do such basic tasks as requesting vacation and filing expense reports.Citrix Systems (CTXS), which makes workplace platforms used by about 100 million people every day, is trying to improve the office technology experience by bringing a Facebook-like newsfeed to your work computer and smartphone.Citrix told CNN Business it will soon launch an Intelligent Digital Workspace that uses machine learning to aggregate information from dozens of outside apps into a single place. The product is getting rolled out as an update to the existing Citrix Workspace. ""There are just too many applications. We're constantly getting notifications that are interrupting our work.""  said Alysia Eve, senior manager of product marketing at Citrix. ""We've designed a space that is aimed at cutting out that digital noise and those distractions -- and make work suck a little less,""""By integrating with dozens of Microsoft (MSFT), SAP (SAP), Google and Salesforce (CRM) apps, the workspace will allow workers to complete such routine tasks as approving contracts, registering for training courses and submitting purchase orders directly from their newsfeeds. They won't need to log onto (or even and remember the passwords to) those outside systems. Citrix said its machine learning technology will help automate certain tasks and anticipate others. The newsfeed will include meeting reminders, pop-up notifications about new hires and information about vacation requests. Managers can dive into expense reports and accept or reject them without leaving the system. ""The newsfeed is how we are used to consuming information in our personal lives,"" Eve said. The company plans to begin releasing the new version of Workspace this month to some of its hundreds of thousands of medium and large enterprise customers. Most of those companies won't get charged more for the changes.""Our strategy is to bring together the right information and unlock human potential by removing the complexity that comes with technology,"" Citrix CEO David Henshall told CNN Business in an exclusive interview.Of course, there is no guarantee the new digital workspace will be a hit with customers and worth the investment by Citrix. It also will face competition from other systems in this space, such as those sold by Amazon (AMZN), Salesforce (CRM) and VMware (VMW), although Citrix said its product stands out because of the ability to deeply integrate dozens of apps and link them all in one place. Henshall said he will measure success by how many new active users the company draws. The Intelligent Digital Workspace is a key part of Citrix's pivot towards a subscription-based business model that focuses more on recurring revenue. Subscription revenue soared 43% during the third quarter, although total revenue was flat. Despite surveys showing that CEO confidence is down, Citrix said Corporate America continues to invest heavily in technology. ""There is a lot of money being spent still, it's just being allocated to the most strategic products,"" Henshall said. ""We're fortunate enough that we're aligned with areas like security and mobility that are high on the priority list."""
Retailers are scrambling to find holiday help,https://www.cnn.com/2019/12/06/business/retailers-holiday-help/index.html," (CNN)If you're looking for a store employee to help you out while shopping this holiday season, you're not alone. Retailers themselves are having a lot of trouble finding the help they need.With unemployment rate so low, retailers are scrambling to find workers. They're raising pay and benefits over what was offered in the past, sometimes substantially. And they started looking for seasonal help much earlier than normal.""We've heard a lot about firms looking for people in July and August for holiday hiring,"" said Jack Kleinhenz, chief economist for the National Retail Federation.Still, with the national unemployment rate matching a 50-year low, many retailers are having to get by with fewer seasonal workers than in the past. The NRF estimates that total seasonal hiring will be between 530,000 to 590,000.That may sound like a lot, but it could be the fewest number of seasonal workers hired by retailers since the Great Recession ended in 2009 -- down as much as 30% from where holiday hiring stood in 2013, according to the NRF.As traditional brick-and-mortar stores struggle to compete with the trend of shoppers doing more of their holiday purchases online, not being able to find help is a serious problem.""You need sales associates who can make the trip to the store worthwhile for the shoppers,"" said Greg Portell, lead partner for the consumer and retail practice at consultant A.T. Kearney. ""If you're taking time to go to the store, the retailer needs to make that a good experience. The people in the store are critical.""The biggest problem is that with the low overall unemployment, there aren't many unemployed retail workers looking for work, despite the record number of store closings. The Labor Department reports that workers who last worked in retail and were looking for work in November stood at 3.5%. That is the lowest reading ever for that measure in data that goes back to 2000. Retail work, particularly over the holidays, is tough work, with late hours, physical labor and being on your feet for much of a shift.Portell said retailers are using signing bonuses and offering referral bonuses to existing employees who can suggest someone willing to take a seasonal job.""Some may have tried them in the past, but they're becoming much more common, much larger dollar amounts,"" said Portell about the bonuses.To be sure, some of the drop in hiring is due to the closing of stores and retailers using technology to reduce the demand for labor -- self-checkout lanes, more efficient inventory management, even robot janitors. Matt Katz, head of the retail & consumer practice of consultant SSA & Company, said some retailers have raised the pay of temporary workers as much as 20% compared to last year. He said the more typical increase has been 5% to 7% increases annually over the last five years. And there are other inducements that used to be reserved for permanent employees, including employee discounts on purchases and other benefits.""I've even seen tuition reimbursements,"" he said.Walmart (WMT), the nation's largest business employer, has moved away from hiring temporary workers and is filling its staffing needs by giving extra hours to the permanent employees it uses year round.""It has worked very well for us and the feedback from customers and associates has been overwhelmingly positive,"" said Walmart spokesperson Michelle Malashock."
Boeing records first 737 Max orders since grounding,https://www.cnn.com/2019/11/19/business/boeing-737-max-orders/index.html,"At the Dubai Airshow Tuesday, Boeing (BA) announced an order for 20 of the jets from an unidentified airline -- 10 of the 737 Max 7 version of the plane, and 10 of the larger Max 10 jet that is still in development. The Max 10 is expected to hold between 188 and 204 passengers, or roughly one-third more than a 737 Max 7.The company also announced Monday that it received an order for an additional 10 Max 8 planes from SunExpress, an airline jointly owned by Lufthansa and Turkey that specializes in travel between Europe and Turkey. The airline already had orders for 32 Max jets, and its new order exercises an option it had for additional jets.The SunExpress purchase provides a vote of confidence for a plane model that has been grounded since March following the second of two fatal crashes that killed 346 people.""We have a longstanding, strong and trustful relationship with Boeing and thus we decided to turn our option into an order,"" says SunExpress CEO Jens Bischof. ""We have full confidence that Boeing will deliver us a safe, reliable, and efficient aircraft.""The orders are fairly modest, and for far fewer planes than a much larger order that rival Airbus (EADSF) announced at the same show. Airbus announced firm orders from Air Arabia for 120 of the A320 class of jets, the rival of the 737 Max. Airbus also reported Tuesday it sold 20 long-range A321 planes to the leasing arm of General Electric (GE), and 10 of them to Flynas, a low-cost airline based in Saudi Arabia. And EasyJet announced it had exercised the rights to buy 12 more A320neo jets.The list price of the 120 single-aisle jets Airbus sold to Air Arabia is $14 billion, while the 30 737 Max jets that Boeing sold have a list price of $3.5 billion.Boeing also announced that Kazakhstan carrier Air Astana signed a letter of intent to buy 30 of the 737 Max jets for use at its new low-cost offering, FlyArystan. ""We believe that the Max will provide a solid platform for the growth of FlyArystan throughout our region, once the aircraft has successfully returned to service.""A letter of intent is not a firm order. In June at the Paris Air Show, International Airlines Group, the owner of Aer Lingus, British Airways, Iberia and other European carriers, signed a letter of intent to buy 200 of the 737 Max jets, but that order has yet to result in any firm orders.Still, as Boeing continues to struggle to get approval for the 737 Max to fly again and to start deliveries of the planes it has built since the grounding, a sales announcement of any kind qualifies as good news.""It's a small endorsement, but at this point any airline endorsement is useful for Boeing,"" said Richard Aboulafia, aerospace analyst with the Teal Group.But Boeing's struggles at Dubai haven't been limited to Airbus beating it soundly in the sale of single-aisle jets. Airbus also announced a $16 billion transaction to sell 50 A350 widebody jets to Dubai-based Emirates. That deal is worth $16 billion. And it sold an additional 12 of the widebody A330 jets to GE.Boeing had trailed Airbus in the sale of single-aisle jets even before the 737 Max crashes, but it led in sales of more expensive, more profitable widebody jets. In Dubai its widebody sales were modest as well, as it sold only two 787 Dreamliners to Biman Bangladesh Airlines at a list price of $585 million for the two jets. In addition, EgyptAir announced it would lease two additional Dreamliners from leasing company AerCap."
Pepsi's new product has nearly twice as much caffeine as its regular soda,https://www.cnn.com/2019/12/12/business/pepsi-cafe-coffee-cola/index.html,"Pepsi Café, which also comes in a vanilla flavor, will hit shelves throughout the United States in April for a limited time. It's nearly twice as caffeinated as a regular soda. For Pepsi, the new beverage is a way to leverage consumer trends to invigorate its core product, which could certainly use a boost. ""Cola has been a pretty stagnant category over the last 20-30 years,"" said Todd Kaplan, vice president of marketing for Pepsi. ""As consumer preferences continue to evolve, we as Pepsi need to evolve as well to better meet those needs.""  While cola remains flat, other types of beverages are gaining traction. Consumers are increasingly interested in functional beverages, which offer a nutritional benefit or a boost of energy. Ready-to-drink iced coffees also are growing. And people are embracing mixed beverage categories. White Claw is an example of a successful product that blurs beverages, seltzer and alcohol, with sales that are expected to surpass $1.5 billion this year.Pepsi previously tried to get consumers on board with coffee colas. In the nineties it tested a coffee product called Pepsi Kona, and in the mid-aughts it briefly marketed another called Pepsi Max Cino. Those products didn't take off, but now Pepsi thinks the time is right for a new version of the product. ""We think the consumers today have now caught up with this trend,"" Kaplan said. When consumers tested out the new version, they were ""quite surprised about the synergy between cola and coffee,"" said Danielle Barbaro, director of research and development at PepsiCo. ""Once they tasted it, they saw that the flavors really blended."" Barbaro called the recipe ""cola forward,"" with an ""authentic, coffee flavor to finish."" The vanilla flavor is designed to offer a milkier, more latte-like taste. Pepsi didn't disclose how much the product will cost.Pepsi (PEP) may also benefit from Coca-Cola's (KO) efforts to market its own coffee cola. Coke — which also briefly sold a coffee cola, Coca-Cola Blak, in the 2000s — recently brought back a new version of the product. Coca-Cola With Coffee, or Coca-Cola Plus Coffee, is currently available in several international markets, where it has performed well, according to the company. Coke hopes to eventually bring the product to the United States, but hasn't committed to doing so. Pepsi, however, isn't ready to go all in on coffee cola quite yet.""The concept of cola infused with coffee, for people to initially wrap their head around until they try it, it's gonna take some time to catch on,"" Kaplan said. Still, he added, ""we think there's a real market there."""
