Title,Link,Article
6 arrested for allegedly helping 2 juvenile inmates who escaped from Nashville detention center,https://www.cnn.com/2019/12/09/us/tennessee-arrests-for-helping-juvenile-inmates-escape/index.html," (CNN)Six people were arrested after allegedly helping two of the four teens who escaped a Nashville juvenile detention center a little over a week ago, police said.On Friday, authorities arrested Danielle Horton, 33; Tyrone Anderson, 29; and Brandi Lyonn Hawkins, 35 -- the mother, cousin and family friend of escapee Calvin Howse, the Metropolitan Nashville Police Department said in a statement. They were charged with being accessories after the fact of escape and facilitation of escape, authorities said. Jasmine Howse, his 18-year-old sister, turned herself in Friday on the same charges, authorities said. Calvin Howse, 15, was in the detention center on charges of gun possession and auto theft. He was captured last week along with Decorrius Wright, 16, in Madison, Tennessee, Nashville police said in a tweet. Wright is accused in the February death of Nashville musician Kyle Yorlets, police said.His 15-year-old girlfriend was also arrested earlier on suspicion of being an accessory after the fact of escape, officials said. She is accused of criminal responsibility for facilitation of a felony, accessory after the fact of escape, harboring, tampering with evidence and lying to police.How two teens' families helpedHowse had a cell phone on him when he was arrested which he used to communicate with his mother, police said. ""Danielle Horton not only knew of her son's whereabouts while he was on escape status, but assisted in getting him food and other items,"" when she was with his sister and cousin, police said. Anderson also helped the escaped inmate gain access to the Internet, police said, while Hawkins  allowed Howse to sleep in her home and assisted his mom in getting food.Hawkins, Horton, Anderson and Jasmine Howse have all been released and are due in court January 24, according to arrest warrant affidavits and the Davidson County Jail.It's not clear if Horton, Anderson and Jasmine Howse have attorneys. Hawkins' attorney could not be reached for comment.Family members also allegedly helped 17-year-old Morris Marsh, who was on the run and is accused of murder. He was arrested Friday, another news release by the police department said. His brother, 26-year-old Rashon Keesee, was charged with accessory after the fact and felony evading arrest, according to the statement. Police investigations found he communicated with Marsh, knew where he was and didn't tell police, the news release said. Police tracked Marsh on Friday to a car being driven by his brother, Rashon Keesee. Keesee refused to stop for police and a pursuit ended at a gas station about 15 minutes later, the release said. Marsh's mother, Tewanna Keesee, was waiting there, the statement said. She has also been charged with accessory after the fact, police said. Tewanna Keesee and Rashon Keesee have been released and are scheduled to appear in court Tuesday.CNN could not determine if they have attorneys. One still on the looseBrandon Caruthers, 17, who is being charged as an adult in an armed robbery case from last year, is still on the loose. He's been placed on the Tennessee Bureau of Investigation's ""Most Wanted"" list after escaping the detention center. ""Anyone seeing him or knowing his whereabouts is asked to contact Crime Stoppers at 615-742-7463,"" police said. ""Reward money for information leading to his apprehension is in excess of $5,000. Persons determined to be assisting him to evade capture will be prosecuted.""CNN's Amir Vera, Tina Burnside, Ila Wilborn and Talya Faggart contributed to this report. "
3 Georgetown basketball players are accused of burglary in civil complaints and 1 is no longer with the team,https://www.cnn.com/2019/12/04/us/georgetown-basketball-burglary-allegations-spt/index.html," (CNN)Two Washington, DC, women have filed civil complaints against Georgetown University basketball players who they say stole items from their home, according to court documents.The case became public this week after the university announced sophomore Josh LeBlanc would not play the rest of the season, then clarified Tuesday that he was pulled because he intends to transfer.He and two other Georgetown players -- Myron Gardner and Galen Alexander -- are accused in the alleged burglary, according to civil complaints filed in November by two women. Gardner and Alexander are still on the Hoyas' roster.One woman was granted a temporary restraining order against LeBlanc and Alexander on November 14, online court records show. One of her housemates also requested a restraining order against Gardner. That request has yet to be heard in court.No criminal charges have been filed against any of the men, local police say, but investigations are continuing.In one police report, one woman says she confronted one of the players on Facetime about items she believes he had a hand in stealing, and he verbally threatened her by saying, ""If you tell anyone, we'll send people after you.""The second woman says in her complaint that Gardner sexually harassed and assaulted her in the home, court documents show. In a police report filed November 4, the two women told investigators that a PlayStation 4, a Nikon camera, a camera lens and a pair of Bape shoes were taken on September 16. When reached by phone Tuesday, LeBlanc told CNN, ""I've got nothing to talk about."" He said he did not have a lawyer. Gardner has not responded to a voicemail seeking comment, but he told the Washington Post on Monday, ""I've never done those things in my life.""Attempts to reach Alexander on Tuesday were not successful. Criminal investigation is underwayKristen Metzger, chief spokeswoman for the Metropolitan Police Department said: ""This is currently an active investigation. No criminal charges have been made at this time.""Kadia Koroma, spokeswoman for the US Attorney's Office in Washington, said, ""It doesn't look like there are criminal charges at this time.""The university's athletic department said in a statement online that conduct violation allegations are investigated by the Office of Student Conduct. It said privacy laws prevent it from commenting on individual cases.The department says it investigates allegations of wrongdoing before taking disciplinary action on any student.""While Georgetown refrains from commenting on individual students in accordance with the Family Educational Rights and Privacy Act (FERPA), we take student conduct issues very seriously,"" the university said Tuesday.What the civil complaint saysIn her civil complaint, one of the women said she and her roommate fear for their safety. ""I believe that Joshua and his friends stole my items from my house and would like to be reimbursed for (the) items,"" she wrote. ""Joshua threatened bodily harm against myself and my roommate,"" she wrote. ""He continued to threaten me verbally and via text message in the following week.""The other woman, in a complaint, accuses Gardner of sexual harassment and assault on September 15. A police officer noted in a second incident report that the woman told the investigator a man showed her his clothed erection.Neither woman immediately responded to CNN's requests for comment. What's next for GeorgetownThe athletic department said student-athletes are subject to the same disciplinary policies and procedures as any other student.""Both the complainant and the accused student are given the opportunity to provide (to the student conduct office) written and oral statements along with any relevant evidence before disciplinary actions are taken,"" the department said in its statement. ""Once the student conduct process is completed, and if sanctions are imposed by the Office of Student Conduct, coaches may impose additional disciplinary actions, including removal from the team.""The Hoyas are 4-3 this season and play at Oklahoma State University on Wednesday. Another player, who the university said is not involved in the civil allegations, is also leaving the program. Sophomore point guard James Akinjo, last year's Big East freshman of the year, has indicated he will transfer, the school said.CNN's Amir Vera and Kevin Dotson contributed to this report. "
Student and school resource officer injured in second high school shooting in Wisconsin this week,https://www.cnn.com/2019/12/03/us/wisconsin-school-shooting-tuesday/index.html," (CNN)A Wisconsin school resource officer on Tuesday shot and wounded a student who stabbed him during an altercation, police said. It was the second shooting to take place in a high school in the state in two days.  The incident occurred shortly after 9 a.m. in the office of the school resource officer at Oshkosh West High School in Oshkosh -- about 90 miles northwest of Milwaukee, police said. At 9:12 a.m., police received a garbled radio transmission from the school resource officer, who requested assistance and an ambulance, according to Oshkosh police Chief Dean Smith. The first responding officer arrived two minutes later.  The 16-year-old student stabbed the officer with an ""edged weapon"" before being shot by the officer with a 9mm pistol, Smith said. Both the student and officer were being treated at a hospital for non-life threatening injuries, Smith said. Smith said investigators were looking into whether there were warnings about the incident on social media. ""We believe there was only one suspect involved ... and this incident was isolated to this encounter,"" he said. Earlier, police said in a Facebook post that an armed student confronted a school resource officer and both were injured and taken to local hospitals.The school was on lockdown and parents instructed to reunite with their children at Perry Tipler Middle School, police said.""Today's incident was a contained situation,"" said Vickie Cartwright, Oshkosh Area School District superintendent.""First and foremost, we are so grateful for the proactive safety measures in place throughout our district as well as our partnership with local and state law enforcement. Our students and staff followed our emergency protocols.""She said classes will be canceled on Wednesday and counselors made available. The high school has about 1,700 students. ""Today's tragic event shows that trained school resource officers can help save lives,"" Cartwright said.  The state's division of criminal investigation has taken over the investigation. Here's what happened Monday in WaukeshaOn Monday in Waukesha, an officer shot a 17-year-old student at a high school classroom, police said. The suspect, who police said pointed a handgun at officers, is in stable condition in the intensive care unit of a local hospital, Waukesha Police Chief Russell Jack told reporters. He could face multiple felony counts but had not been charged. No other injuries were reported.Police later learned the suspect was armed with two realistic-looking pellet guns, Waukesha Police Capt. Dan Baumann told reporters Tuesday. A search of the suspect's home revealed another pellet gun and narcotics in his bedroom, Baumann said.Baumann said the student was ""angry"" at another student and had pointed one of the weapons at his head. The incident at Waukesha South High School unfolded after a student reported a classmate with a handgun. That's when a school resource officer rushed to a classroom and began getting other students to safety, police said in a press release.Other officers responded and tried to start a dialogue with the suspect, Jack said. The suspect at one point pulled the gun and pointed it at the officers, Baumann said. Waukesha Police Sgt. Brady Esser, who had rushed to the classroom with the SRO, fired his weapon, striking the suspect in the leg and arm, the captain said. Esser is an 11-year veteran. Baumann praised the way students, staff and law enforcement responded. ""It is exactly why we train,"" he said. ""It is exactly why we continue to do what we do in training and preparation -- unfortunately -- for events like this.""Jack added, ""The SRO did a great job responding immediately to the information and was able to remove many students from harm's way. While that was happening, a different officer was forced to discharge his firearm based on the imminent threat the suspect posed."" School district Superintendent Todd Gray said Monday, ""This is a superintendent's worst nightmare."" A separate, unrelated incident at a different school in the same city saw a 15-year-old boy taken into custody after police found him with a replica firearm later at his home, according to a police press release. Police were called to Waukesha North High School around 1 p.m. Monday for reports of a student with a gun, the release said. After the school was placed on lockdown, an investigation found the student was no longer on school property. Police responded to the student's home and found a replica of a firearm, police said. SROs communicate with students, enforce lawsAn SRO is assigned to each of the two public high schools in the Oshkosh Area School District, according to the city website. The primary goal of the officers -- who are Oshkosh police officers -- is ""preventing juvenile delinquency through education and positive communication with students. SROs also respond to problems in their assigned schools and assist when unusual events occur at the elementary schools,"" the website said. SROs take part in appropriate classroom lessons on topics such as bullying, internet safety and laws involving dating and relationships. The National Association of School Resource Officers said there are between 14,000 and 20,000 SROs across the nation. The association recommends they receive at least 40 hours of specialized training in school policing. SROs typically are armed, though some jurisdictions prohibit them from carrying firearms on campus. ""A school resource officer is a commissioned, sworn law enforcement officer, not a 'security guard,'"" The association said.CNN's Kara Devlin and Amir Vera contributed to this report. "
One of the last survivors of the USS Arizona will be interred on the sunken warship,https://www.cnn.com/2019/12/07/us/pearl-harbor-uss-arizona-lauren-bruner-trnd/index.html," (CNN)A World War II veteran who was the second-to-last man to escape the USS Arizona during the Japanese attack on Pearl Harbor will be interred on the ship's wreckage on Saturday.Lauren Bruner, one of 334 crew members to survive the December 7, 1941 attack, died on September 10, 2019, just months before his 99th birthday. The interment ceremony will be livestreamed and is scheduled to take place at sunset at the USS Arizona Memorial in Honolulu, Hawaii. Divers will place the urn containing Bruner's ashes inside the well of the barbette on gun turret No. 4. The ceremony will include a rifle salute, flag presentation, and plaque presentation in honor of the veteran. A barbette is an armored structure protecting a gun turret on a warship.The memorial can only be reached by boat as was built above the submerged hull of the sunken battleship. The hull is a tomb for more than 900 sailors who remain within and serves as an artificial reef providing habitat for marine life.Only the remains of USS Arizona survivors can be interred on the sunken battleship. Pearl Harbor survivors can have their ashes scattered over the harbor.Bruner was on the sky control deck when the ship was struck by several bombs, igniting explosions which killed 1,177 Arizona crew members. He was one of a handful of sailors on deck to survive the catastrophic explosion when a bomb struck the Arizona's forward magazine.After the explosion, he swam across 70 feet of burning water to reach the repair ship USS Vestal. Bruner suffered burns on nearly 80 percent of his body and was wounded by Japanese gunfire.He recovered from his wounds and returned to sea, serving aboard the destroyer USS Coghlan in eight more battles against the Japanese, according to the Navy. He finished the war as a fire control chief on Coghlan, steaming into Nagasaki harbor only days after the atomic bomb explosion. Bruner is the 44th and last USS Arizona survivor to be interred, according to Emily Pruett, a spokeswoman for the Pearl Harbor National Memorial.""The wrecks of only two vessels remain in the harbor — the Arizona and USS Utah — so survivors of those ships are the only ones who have the option to be laid to rest this way,"" Pruett told CNN.The rest of the ships which were struck that day were either repaired or scrapped, she said.The last three living survivors of the USS Arizona plan to be laid to rest with their families."
"Man pleads guilty in $400,000 GoFundMe scam",https://www.cnn.com/2019/12/06/us/gofundme-scam-sentence-damico/index.html," (CNN)A man who was the instigator behind a false feel-good story that raised more than $400,000 as part of a GoFundMe scam plead guilty Friday in New Jersey court, according to prosecutors.Mark D'Amico, 29, pleaded guilty to one count of second-degree misapplication of entrusted property in Burlington County. ""We are pleased that this defendant accepted responsibility for his role in this scam,"" Burlington County Prosecutor Scott Coffina said in a statement. ""He will be required to make full restitution to GoFundMe and the donors — the true victims in this case — and has agreed to a five-year term in New Jersey state prison.""He will be officially sentenced in April.The charge stemmed from a viral 2017 story in which D'Amico's accomplice, Katelyn McClure, 29, supposedly ran out of gas and was stranded on Interstate 95 in Philadelphia. A homeless man, Johnny Bobbitt Jr., supposedly saw her and gave her his last $20 for gas. McClure and D'Amico, her then-boyfriend, posted about the ""good deed"" on social media and started a GoFundMe to raise money for him. But the story was not true and unraveled after more than $400,000 had been contributed by more than 14,000 people through GoFundMe.Prosecutors said the then-couple spent the money on a BMW, a New Year's trip to Las Vegas, gambling in casinos, Louis Vuitton handbags and other items.Bobbitt, who had been given $75,000, according to prosecutors, took civil action against D'Amico and McClure and the scam soon became public.Bobbitt pleaded guilty at the local level to one count of conspiracy to commit theft by deception and was put in a drug treatment program. If he fails to complete the program, he could be sentenced to five years in prison, according to prosecutors.McClure pleaded guilty in April to second-degree theft by deception in a plea agreement. She agreed to a four-year prison term but has not been sentenced, prosecutors said.Like D'Amico, both McClure and Bobbitt agreed to make restitution as part of their plea agreements.CNN's Eric Levenson and Laura Ly contributed to this report. "
"Man rescued after shouting, 'Siri, call 911'",https://www.cnn.com/2019/12/11/us/winnebago-river-man-car-crash-trnd/index.html," (CNN)""Siri, call 911.""  That's what a man in Charles City, Iowa yelled after his car plunged into an icy river. Gael Salcedo, 18, was on his way to North Iowa Area Community College when his Jeep hit a patch of ice on the road, according to CNN affiliate KIMT. Salcedo lost control of his car -- he turned to the right and from there, everything went blurry, he said. His car, though, plummeted into the Winnebago River.""I didn't know where I was going and then I just didn't know what to do. I was just thinking in my head 'I think I'm going to die,'"" he told KIMT.Salcedo rolled the windows down, worried that his car would sink. The ice and water surrounding him were below freezing temperatures, according to KIMT.He couldn't find his phone, so he did the next big thing: He used Siri. Officials with the Mason City Fire Department arrived at the scene quickly, but the river current immobilized the driver's side door shut.There were no other options -- Salcedo had to walk out, Lt. Craig Warner with the Mason City Fire Department told KIMT. ""My hands were freezing. I couldn't feel my legs anymore, so I was struggling a lot and the water was just so strong,"" Salcedo told KIMT.  ""I kept tripping, and I had the guy help me up a bunch of times and I used all my strength to get out of the water.""With Warner's help, Salcedo made it out of the river and into the ambulance. He was treated for shock and released from the hospital just a few hours later, according to KIMT."
3 Georgetown basketball players are accused of burglary in civil complaints and one is no longer with the team,https://www.cnn.com/2019/12/04/us/georgetown-basketball-burglary-allegations-spt/index.html," (CNN)Two Washington, DC, women have filed civil complaints against Georgetown University basketball players who they say stole items from their home, according to court documents.The case became public this week after the university announced sophomore Josh LeBlanc would not play the rest of the season, then clarified Tuesday that he was pulled because he intends to transfer.He and two other Georgetown players -- Myron Gardner and Galen Alexander -- are accused in the alleged burglary, according to civil complaints filed in November by two women. Gardner and Alexander are still on the Hoyas' roster.One woman was granted a temporary restraining order against LeBlanc and Alexander on November 14, online court records show. One of her housemates also requested a restraining order against Gardner. That request has yet to be heard in court.No criminal charges have been filed against any of the men, local police say, but investigations are continuing.In one police report, one woman says she confronted one of the players on Facetime about items she believes he had a hand in stealing, and he verbally threatened her by saying, ""If you tell anyone, we'll send people after you.""The second woman says in her complaint that Gardner sexually harassed and assaulted her in the home, court documents show. In a police report filed November 4, the two women told investigators that a PlayStation 4, a Nikon camera, a camera lens and a pair of Bape shoes were taken on September 16. When reached by phone Tuesday, LeBlanc told CNN, ""I've got nothing to talk about."" He said he did not have a lawyer. Gardner has not responded to a voicemail seeking comment, but he told the Washington Post on Monday, ""I've never done those things in my life.""Attempts to reach Alexander on Tuesday were not successful. Criminal investigation is underwayKristen Metzger, chief spokeswoman for the Metropolitan Police Department said: ""This is currently an active investigation. No criminal charges have been made at this time.""The US attorney's office in Washington has not responded to CNN's questions about whether any criminal charges will be filed.The university's athletic department said in a statement online that conduct violation allegations are investigated by the Office of Student Conduct. It said privacy laws prevent it from commenting on individual cases.The department says it investigates allegations of wrongdoing before taking disciplinary action on any student.""While Georgetown refrains from commenting on individual students in accordance with the Family Educational Rights and Privacy Act (FERPA), we take student conduct issues very seriously,"" the university said Tuesday.What the civil complaint saysIn her civil complaint, one of the women said she and her roommate fear for their safety. ""I believe that Joshua and his friends stole my items from my house and would like to be reimbursed for (the) items,"" she wrote. ""Joshua threatened bodily harm against myself and my roommate,"" she wrote. ""He continued to threaten me verbally and via text message in the following week.""The other woman, in a complaint, accuses Gardner of sexual harassment and assault on September 15. A police officer noted in a second incident report that the woman told the investigator a man showed her his clothed erection.Neither woman immediately responded to CNN's requests for comment Tuesday. What's next for GeorgetownThe athletic department said student-athletes are subject to the same disciplinary policies and procedures as any other student.""Both the complainant and the accused student are given the opportunity to provide (to the student conduct office) written and oral statements along with any relevant evidence before disciplinary actions are taken,"" the department said in its statement. ""Once the student conduct process is completed, and if sanctions are imposed by the Office of Student Conduct, coaches may impose additional disciplinary actions, including removal from the team.""The Hoyas are 4-3 this season and play at Oklahoma State on Wednesday. Another player, who the university said is not involved in the civil allegations, is also leaving the program. Sophomore point guard James Akinjo, last year's Big East freshman of the year, has indicated he will transfer, the school said.CNN's Amir Vera and Kevin Dotson contributed to this report. "
Girlfriend of teen escapee arrested by Nashville police,https://www.cnn.com/2019/12/04/us/nashville-teen-escapees-girlfriend-arrested/index.html," (CNN)The 15-year-old girlfriend of a boy who escaped with three other teens from a Tennessee  juvenile detention center has been arrested on suspicion of being an accessory after the fact of escape.Her boyfriend, Decorrius Wright, 16, and 15-year-old Calvin Howse were recaptured Tuesday night.Nashville police said the girl is accused of criminal responsibility for facilitation of a felony, accessory after the fact of escape, harboring, tampering with evidence and lying to police.Police said she ""aided Wright's ability to remain at large between the time of Saturday night's escape from the Juvenile Justice Center and Wright's apprehension Tuesday night in Madison."" Authorities are still searching for two other teens who escaped. One who remains at large has been added to the Tennessee Bureau of Investigation's most wanted list. Brandon Caruthers, 17, is being charged as an adult in an armed robbery case from August last year, police said. ""He should be considered dangerous,"" a TBI flyer said.A reward up to $2,500 is being offered for information leading to his arrest, according to the bureau. Teens escaped through the front doorsThe arrests come hours after officials released security videos that showed the teens running undetected through the empty hallways of the facility and escaping through the front door.The videos released  by the Davidson County Juvenile Court show the teens -- Wright, Howse, Morris Marsh and Caruthers --  as they make their way outside the Davidson County Juvenile Detention Center in downtown Nashville. Three were shown wearing bright yellow vests.The teens escaped the facility past the 9 p.m. usual bedtime when a staff supervisor left them cleaning an area inside the facility by themselves and went to a different floor to address a disturbance, the company managing the center said. They entered an elevator that had been left open by a staff member, according to a statement from Davidson County Juvenile Court. They were ""able to convince a staff member to make a call to Master Control and request that the elevator be sent to the basement, which is an unsecured area youth are not permitted to access.""The footage appears to begin moments after they exited an elevator that connects the secured area of the facility to a public area in the basement. The teens are seen racing up the stairs to the main level of the facility. One of them briefly ran down the hallway away from the stairs before turning around to follow the others. The group, still wearing their vests, continues running on empty hallways before they go through the glass front doors and down the front steps of the building. Video from a camera outside the building shows one of them taking off his yellow vest and tossing it near the front entrance.Authorities had said it was more than likely the teens had some assistance once they were outside but no one else other than the teens appears on the surveillance footage.Youth Opportunity Investments, a private detention contractor which has managed the center since 2015, has fired three employees and suspended one for three days in reaction to the escape, the company said.Two are accused in murder casesTwo of the teens were accused of murder in separate cases earlier this year.Wright  is accused in the February death of Kyle Yorlets, police said. Yorlets was a Nashville musician who was shot and killed when a group of five minors robbed him of his wallet and he refused to hand over his keys.Marsh, 17, is accused in the April killing of Charles Easley, police have said.Howse was arrested in November on charges of gun possession and auto theft, police said.CNN's Steve Almasy and Natalie Anders contributed to this report. "
A New York high school has canceled its 'Tarzan' musical production after racism complaints,https://www.cnn.com/2019/12/09/us/new-york-high-school-tarzan-racism-trnd/index.html,"New York (CNN)A high school in Elmsford, New York, has canceled its spring musical production of ""Disney's Tarzan"" after school community members complained about the racial undertones.Students had reacted with ""delight"" when Alexander Hamilton High School's drama club announced the Tarzan musical, according to a news release from the school district.But plans changed after ""further consideration of the source material, upon which the story was derived,"" the district said.""Some members of our school community had expressed concerns over the racial undertones of the source material, and the district agreed to reconsider the choice,"" it said.""Tarzan of the Apes,"" a novel by Edgar Rice Burroughs, was published in 1912. The story of Tarzan follows the journey of young orphan boy who grows up in an African jungle and is raised by apes, struggling to survive in a savage African world.The novel and its film adaptations have been criticized for their racist depiction of colonialism, imperialism and African natives.Parents were concerned that students of color would play ape characters, according to the Journal News newspaper.""We have shared with students and parents how important it is that all their voices be heard,"" Elmsford Union Free School District Superintendent Marc Baiocco said. ""The district wants to ensure that it has created an inclusive environment in which all students can grow and thrive.""Instead of ""Tarzan,"" the drama club plans in March to stage a musical adaptation of ""Twelfth Night"" that was performed at Shakespeare in the Park.""We feel this show is a better fit for our student population and will offer our students a special experience in theater production where they can use and develop their talents,"" Baiocco said."
"Mold at Florida military housing caused mushrooms to grow out of carpets, lawsuit says",https://www.cnn.com/2019/12/04/us/macdill-air-force-base-housing-florida-lawsuit/index.html," (CNN)Mold in privately run housing at MacDill Air Force Base in Florida not only caused health problems but led to mushrooms growing out of a floor and carpet, according to a federal lawsuit filed by five service members and their families.The lawsuit, filed this week in US District Court in Tampa, accuses the housing owners and managers of ignoring repeated complaints about mold exposure, conducting inadequate remediation work and not sharing mold test results with the military families.""In at least one instance, moldy conditions went untreated ... for so long that mushrooms grew out of the floor and carpet,"" the suit said. ""Indeed, once a leak, flood, or dampness occurs, mold can begin to spread, and its natural progression is to spur highly toxic 'mold mushrooms' that are harmful to human and animals alike,"" according to the lawsuit. The defendants in the case -- the Michaels Organization, Michael Management Services, Interstate Realty Management Company, AMC East Communities, Clark Realty Capital and Harbor Bay at MacDill -- did not immediately respond to a request for comment. The serious mold problems at the housing complex, known as Harbor Bay at MacDill, were known to the defendants since 2016, the suit said. The service members and their families suffered numerous health problems from exposure to the mold, including respiratory ailments, liver and spleen damage, headaches, memory loss, rashes, arthritis and lupus, the suit said.  The families were forced to vacate their homes and move to temporary housing for extended periods of time, according to the suit. The suit said US Air Force Secretary Heather Wilson visited the base in March to hear residents' complaints about mold and other problems. In June, the Air Force sent a representative of the Environmental Protection Agency to speak with the families. After remediation efforts, the defendants often failed to share the results of mold and moisture inspections with families, the suit said.  ""These men and women who serve our country and keep us safe, and their children safe, deserve to life in safe, clean, and uncontaminated housing,"" the suit said. In May, a report by the Military Family Advisory Network, a charitable organization, said that 54% of 105 service members surveyed at MacDill had experienced problems with mold, according to the suit. The Air Force this year cut money the defendants received through a performance incentive fee because of mold problems and complaints about remediation efforts, the suit said.    Service chiefs from the Army, Navy, Air Force and Marine Corps appeared before the Senate Armed Services Committee in March. They acknowledged widespread problems with the handling of military housing and pledged to address a range of issues.   At an earlier Senate hearing, the committee heard testimony from military families who detailed the poor condition of some privatized housing units on bases across the country, including issues with mold, lead paint and rats.The four US military services said they had prepared a draft of a joint ""Tenant Bill of Rights"" as a first step at increasing the quality of service member housing. But it remained unclear how the services plan to hold private housing contractors accountable for issues related to poor construction or potential negligence.CNN's Tina Burnside contributed to this report."
